run_id,created_at,pipeline_config_id,segmentation_source_id,clustering_model,extra_pipeline_steps,split,condition,der_collar,der_skip_overlap,notes,der,overlap_der,jer,counting_mae,counting_exact_match_percent,duration_seconds,refinement_strategy,corpus,mic_condition,git_commit,counts_toward_results,der_overlap_system,der_overlap_assigned,region_t_and_d,region_t_minus_d,region_d_minus_t,oracle_scope,missed_detection,false_alarm,confusion,oracle_rttm,clustering_config,intermediate_config_id
20260913T031401Z-a9c41646,2026-09-13T03:14:01.096069+00:00,pyannote/speaker-diarization-community-1,baseline,pyannote-default,[],test,IHM,0.0,False,,0.17049287033463784,0.3339467146571433,0.22187246998379553,0.25,75.0,,,,,,,,,,,,,,,,,,
20260916T213918Z-d3ef4437,2026-09-16T21:39:18.251979+00:00,pyannote/speaker-diarization-community-1,baseline,pyannote-default,[],test,baseline,0.0,False,"baseline community-1, no modifications -- T1/T2 verification run (der components, der_overlap_system, der_overlap_assigned, region census, identity refinement hook)",0.17049287033463784,,0.22187246998379553,0.25,75.0,,identity,AMI,IHM,3db89587,True,0.3339467146571433,0.21945306864112454,2433.1170000000147,1393.9389999999876,383.1260000000036,,,,,,,
20260916T214459Z-e9f25911,2026-09-16T21:44:59.913050+00:00,pyannote/speaker-diarization-community-1,baseline,pyannote-default,[],test,nearest_centroid,0.0,False,"nearest_centroid refinement strategy -- T2 plumbing-validation run, expected to land close to baseline",0.17049287033463784,,0.22187246998379553,0.25,75.0,,nearest_centroid,AMI,IHM,3db89587,True,0.3339467146571433,0.21945306864112454,2433.1170000000147,1393.9389999999876,383.1260000000036,,,,,,,
20260916T233858Z-1db2ba34,2026-09-16T23:38:58.526069+00:00,pyannote/speaker-diarization-community-1,baseline,pyannote-default,[],test,oracle_assignment,0.0,False,"T4 verification (post cache-key fix): oracle assignment ceiling, all_pairs scope, full AMI IHM test split (16 meetings). Secondary/looser ceiling (any pair correctable, not just overlap-degraded). +0.97pt DER recoverable vs baseline: 17.05% -> 16.08%.",0.1608074972608459,,0.2045200390045101,0.125,87.5,,oracle,AMI,IHM,3d3d9fa6,True,0.31370168431754675,0.19200137130867057,2433.11687500005,1393.9391249999528,382.94937499995154,all_pairs,,,,,,
20260917T005714Z-c93fb9f9,2026-09-17T00:57:14.393339+00:00,pyannote/speaker-diarization-community-1,baseline,pyannote-default,[],test,oracle_assignment,0.0,False,"T4 verification (post cache-key fix): oracle assignment ceiling, overlap_degraded scope, full AMI IHM test split (16 meetings). Primary ceiling for post-clustering assignment fix (this is the honest scope for 'improving clustering' -- restricts refinement to pairs actually overlap-degraded, matching what a real classifier could target). +0.47pt DER recoverable vs baseline: 17.05% -> 16.58%.",0.1657950539631418,,0.2137937081941508,0.25,75.0,,oracle,AMI,IHM,3d3d9fa6,True,0.3189178840574238,0.19929222174253383,2433.11687500005,1393.9391249999528,382.94937499995154,overlap_degraded,,,,,,
20260917T013630Z-3c8deb71,2026-09-17T01:36:30.948058+00:00,pyannote/speaker-diarization-community-1,oracle,pyannote-default,[],test,oracle_segmentation,0.0,False,"T3 verification: oracle (ground-truth) segmentation, full AMI IHM test split (16 meetings)",0.17048543579940637,,0.22186961360102092,0.25,75.0,,identity,AMI,IHM,3d3d9fa6,True,0.3339417838704696,0.219454688210064,2433.11687500005,1393.9391249999528,382.94937499995154,all_pairs,,,,,,
20260917T050938Z-aa8fbfa4,2026-09-17T05:09:38.187568+00:00,pyannote/speaker-diarization-community-1,baseline,pyannote-default,[],test,baseline,0.0,False,"T5 re-run: baseline community-1, unmodified defaults -- re-scored to populate corpus DER component breakdown (missed detection / false alarm / confusion)",0.17048543579940637,,0.22186961360102092,0.25,75.0,4289.61,identity,AMI,IHM,64bc98d2,True,0.3339417838704696,0.219454688210064,2433.11687500005,1393.9391249999528,382.94937499995154,all_pairs,2925.049468749914,1099.0743744999131,1212.152875000019,,,
20260917T054753Z-32241285,2026-09-17T05:47:53.397502+00:00,pyannote/speaker-diarization-community-1,baseline,pyannote-default,[],test,nearest_centroid,0.0,False,T5 re-run: nearest_centroid refinement -- re-scored to populate corpus DER component breakdown (missed detection / false alarm / confusion),0.16792363760650816,,0.21658351842532644,0.25,75.0,1959.4849999999997,nearest_centroid,AMI,IHM,64bc98d2,True,0.32903241918782916,0.21356420273191185,2433.11687500005,1393.9391249999528,382.94937499995154,all_pairs,2925.049468749914,1099.0743744999131,1133.4700000000078,,,
20260918T125323Z-18016c15,2026-09-18T12:53:23.128836+00:00,pyannote/speaker-diarization-community-1,oracle-v2,pyannote-default,[],test,oracle_segmentation,0.0,False,"Oracle (ground-truth) segmentation re-run after the seam fix (oracle-segmentation-seam-no-op ticket): training flag now applied uniformly in Runner.run so the injected CACHED_SEGMENTATION is actually read, annotation leak closed, cache id bumped to oracle-v2 to orphan the stale no-op entries. Supersedes invalid run 3c8deb71. Full AMI IHM test split, 16 meetings.",0.03956063929671511,,0.07978044419008236,0.6875,43.75,2839.547000000006,identity,AMI,IHM,7e50c056,True,0.10428634905120525,0.10370612799500206,3821.2587187498343,5.7972812501686946,73.25503125016866,all_pairs,16.42709375038809,141.12684375038467,1057.5085312499484,,,
20260920T024349Z-867b2adc,2026-09-20T02:43:49.400395+00:00,pyannote/speaker-diarization-community-1,baseline,pyannote-default,[],test,baseline,0.0,False,"Baseline equivalence check (oracle-segmentation-seam-no-op, acceptance criterion 1): baseline re-run with pipeline.training=True applied uniformly by Runner.run, forced to fully recompute via a throwaway cache dir. Purpose is to prove the training flag alone does not alter output, retiring the embedding-caching confound by measurement rather than argument. Does NOT count toward results -- this is a control, not a new condition.",0.17048543579940637,,0.22186961360102092,0.25,75.0,2138.25,identity,AMI,IHM,7e50c056,False,0.3339417838704696,0.219454688210064,2433.11687500005,1393.9391249999528,382.94937499995154,all_pairs,2925.049468749914,1099.0743744999131,1212.152875000019,,,
